# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
EOS Notice Pay (Deduction),بدل الإشعار - خصم (نهاية الخدمة),تعويض مهلة الإشعار (خصم),changed,labour-law,eos_leave,المادة 76
Last Wage (SAR),آخر راتب (ريال),الأجر الأخير (ريال),changed,labour-law,"annual_leave,eos_leave",المادة 84
Notice Pay (Deduction),بدل فترة الإشعار (خصم),تعويض مهلة الإشعار (خصم),changed,labour-law,eos_leave,
# ═══ [changed] الإجازات — Leaves ═══
Annual Leave – Multi-Step Approval,إجازة سنوية — موافقة متعددة المراحل,الإجازة السنوية — اعتماد متعدد المراحل,changed,ksa-hr,annual_leave,سجل «اعتماد» + إزالة التشكيل
Financial Consideration for Excess Leave,التعويض المالي عن الإجازة الزائدة | المقابل المالي للإجازة الزائدة,المقابل المالي عن الإجازة الزائدة,changed,unify,"payroll,unpaid_leave",
Full Balance Clearance,تصفية الرصيد الكامل | تصفية الرصيد بالكامل,تصفية كامل الرصيد,changed,unify,"annual_leave,payroll",
Is Unpaid Leave,إجازة غير مدفوعة,إجازة بدون أجر,changed,labour-law,unpaid_leave,
Leave,الإجازة,إجازة,changed,ksa-hr,annual_leave,الأساسي «مغادرة» — غير مناسبة
Return Confirmed,العودة مؤكَّدة,تمت المباشرة,changed,ksa-hr,annual_leave,
Return Date,تاريخ العودة,تاريخ المباشرة,changed,ksa-hr,annual_leave,«مباشرة العمل» = العودة من الإجازة
Return Status,حالة العودة,حالة المباشرة,changed,ksa-hr,annual_leave,
Sick Leave,إجازة مرضية,الإجازة المرضية,changed,labour-law,leave_types,المادة 117
Time Off,الإجازات,الإجازات,changed,odoo-core,"annual_leave,attendance_leave,eos_leave,leave_approval,payroll,unpaid_leave",
Unpaid Leave,الإجازة غير المدفوعة,الإجازة بدون أجر,changed,labour-law,unpaid_leave,المادة 116
Unpaid Leave Days,أيام الإجازة غير المدفوعة,أيام الإجازة بدون أجر,changed,labour-law,unpaid_leave,
Unpaid Leave – Multi-Step Approval,الإجازة غير المدفوعة – اعتماد متعدد الخطوات,الإجازة بدون أجر — اعتماد متعدد المراحل,changed,ksa-hr,unpaid_leave,
Unpaid Portion (Days),الجزء غير مدفوع الأجر (أيام),الجزء بدون أجر (أيام),changed,labour-law,annual_leave,
Visa Cost Recovery for Excess Leave,استرداد تكلفة التأشيرة عن الإجازة الزائدة | استرداد تكلفة التأشيرة للإجازة الزائدة,استرداد تكلفة التأشيرة عن الإجازة الزائدة,changed,unify,"payroll,unpaid_leave",
✅ Confirm Return,✅ تأكيد العودة,✅ تأكيد المباشرة,changed,ksa-hr,annual_leave,
✅ Return Confirmed,✅ تم تأكيد العودة,✅ تمت المباشرة,changed,ksa-hr,annual_leave,
# ═══ [changed] سير الاعتماد — Approval workflow ═══
Approved,معتمد,معتمد,changed,ksa-hr,"annual_leave,deduction",
Cancelled,مُلغى,ملغي,changed,sap-oracle,deduction,
Confirmed,مؤكَّد,مؤكد,changed,sap-oracle,"attendance_sheet,commissions",
Confirmed By,أُكِّد من قِبَل | تم التأكيد بواسطة,تم التأكيد بواسطة,changed,unify,"annual_leave,commissions",
GM (Initial Review),المدير العام (مراجعة أولية),المدير العام (مراجعة أولية),changed,ksa-hr,annual_leave,
HR Approver,معتمد الموارد البشرية | مُعتمِد الموارد البشرية,معتمد الموارد البشرية,changed,unify,"annual_leave,deduction",
My Pending Approvals,اعتماداتي المعلّقة,طلبات بانتظار اعتمادي,changed,ksa-hr,deduction,
Pending Accounting,بانتظار المحاسبة | في انتظار موافقة المحاسبة,بانتظار اعتماد المحاسبة,changed,unify,"annual_leave,deduction",
Pending DM Approval,بانتظار اعتماد المدير المباشر | في انتظار موافقة المدير المباشر,بانتظار اعتماد المدير المباشر,changed,unify,"annual_leave,deduction",توحيد «بانتظار»
Pending GM Final,بانتظار اعتماد المدير العام النهائي | في انتظار الموافقة النهائية للمدير العام,بانتظار الاعتماد النهائي للمدير العام,changed,unify,"annual_leave,deduction",
Pending GM Initial,في انتظار الموافقة الأولية للمدير العام,بانتظار الاعتماد الأولي للمدير العام,changed,unify,annual_leave,
Pending HR Approval,بانتظار اعتماد الموارد البشرية | في انتظار موافقة الموارد البشرية,بانتظار اعتماد الموارد البشرية,changed,unify,"annual_leave,deduction",
Pending HR Confirmation,في انتظار توقيع الموظف,بانتظار تأكيد الموارد البشرية,changed,ksa-hr,annual_leave,تصحيح: الخطوة 6 صارت للموارد البشرية
Pending My Action,بانتظار إجراء مني,بانتظار إجرائي,changed,ksa-hr,"annual_leave,deduction",
Refused,مرفوض,مرفوض,changed,sap-oracle,deduction,
Submit Request,تقديم الطلب,تقديم الطلب,changed,ksa-hr,deduction,
✅ Initial Approve (GM),✅ الموافقة الأولية (المدير العام),✅ الاعتماد الأولي (المدير العام),changed,ksa-hr,annual_leave,اتفاق التذكير مع «اعتماد»
# ═══ [changed] الخصومات — Deductions ═══
Advances & Other,السلف وأخرى,السلف وغيرها,changed,ksa-hr,deduction,
Full (incl. active installments),تعديل,تعديل كامل (شامل الأقساط النشطة),changed,ksa-hr,deduction,تصحيح: الحالي «تعديل» ناقص
Internal Penalty,غرامة داخلية,جزاء داخلي,changed,labour-law,deduction,لائحة الجزاءات
Loan Disbursement Officer,مسؤول صرف القرض,مسؤول صرف القروض,changed,ksa-hr,deduction,
Mark Paid,تسجيل كمدفوع,تسجيل السداد,changed,ksa-hr,deduction,
Paid,مدفوع,مسدد,changed,ksa-hr,deduction,سياق الأقساط = سداد
Paid / Total,المدفوع / الإجمالي,المسدد / الإجمالي,changed,ksa-hr,deduction,
Penalties,الغرامات,الجزاءات والغرامات,changed,labour-law,deduction,
Record Loan Payment,تسجيل دفعة قرض,تسجيل سداد قرض,changed,ksa-hr,deduction,
Salary Advance,سُلفة راتب,سلفة راتب,changed,ksa-hr,deduction,
Total Paid,الإجمالي المدفوع,إجمالي المسدد,changed,ksa-hr,deduction,
# ═══ [changed] الحضور والانصراف — Attendance ═══
Attendance,الحاضرين,الحضور والانصراف,changed,ksa-hr,"attendance_leave,attendance_sheet,payroll",المصطلح الوظيفي الكامل
Attendance Record,سجل الحضور,سجل الحضور والانصراف,changed,ksa-hr,"attendance_leave,attendance_sheet",
Attendance Sheet,كشف الحضور,كشف الحضور والانصراف,changed,ksa-hr,attendance_sheet,
Attendance Sheets,كشوف الحضور,كشوف الحضور والانصراف,changed,ksa-hr,attendance_sheet,
Biometric Attendance Sync Service,خدمة مزامنة الحضور البيومتري,خدمة مزامنة حضور البصمة,changed,ksa-hr,"attendance_leave,payroll",
Biometric Device,الجهاز البيومتري,جهاز البصمة,changed,ksa-hr,attendance_leave,الاستخدام السعودي: البصمة
Biometric Device Details,تفاصيل الجهاز البيومتري,بيانات جهاز البصمة,changed,ksa-hr,attendance_leave,
Biometric Schedule Helper,مساعد الجدول البيومتري,مساعد جداول البصمة,changed,ksa-hr,attendance_leave,
Biometric: Stale Device Alert (every 30 minutes),البيومتري: تنبيه الجهاز المعطَّل (كل 30 دقيقة),البصمة: تنبيه توقف الجهاز (كل 30 دقيقة),changed,ksa-hr,attendance_leave,
Covered,مغطى,مشمول بإجازة,changed,ksa-hr,attendance_leave,الحالي «مغطى» حرفية
Covered by Time Off,مغطى بإجازة,مشمول بإجازة,changed,ksa-hr,attendance_leave,
Early Leave,خروج مبكر,الانصراف المبكر,changed,ksa-hr,attendance_leave,
Early Leave (min),خروج مبكر (دقيقة),انصراف مبكر (دقيقة),changed,ksa-hr,attendance_report,
Early Leave Minutes,دقائق الخروج المبكر,دقائق الانصراف المبكر,changed,ksa-hr,attendance_leave,
Main Work Schedule,جدول العمل الرئيسي,جدول الدوام الأساسي,changed,ksa-hr,working_schedule,«الدوام» = اللفظ السعودي
Monthly Attendance Report,تقرير الحضور الشهري,تقرير الحضور والانصراف الشهري,changed,ksa-hr,attendance_report,
Monthly Attendance Sheet,كشف الحضور الشهري,كشف الحضور والانصراف الشهري,changed,ksa-hr,attendance_sheet,
Skip Late/Early Leave Checks,تجاهل فحوصات التأخير/الخروج المبكر,تجاهل فحوصات التأخير/الانصراف المبكر,changed,ksa-hr,working_schedule,
Temporary Work Schedule,جدول عمل مؤقت,جدول دوام مؤقت,changed,ksa-hr,working_schedule,
Total Early Leave Minutes,إجمالي دقائق الخروج المبكر,إجمالي دقائق الانصراف المبكر,changed,ksa-hr,"attendance_leave,attendance_report",
# ═══ [changed] العمولات وعامة — Commissions & misc ═══
Amount,القيمة | المبلغ,المبلغ,changed,unify,"annual_leave,commissions,deduction,ext_sync,payroll",يوحّد «القيمة» و«المبلغ»
Salesman,البائع,مندوب المبيعات,changed,ksa-hr,commissions,«البائع» = بائع محل
Salesman & Collector,بائع ومحصِّل,مندوب مبيعات ومحصل,changed,ksa-hr,commissions,
Salesperson,المندوب,مندوب المبيعات,changed,unify,commissions,
Salesperson Profiles,ملفات المندوبين,ملفات مندوبي المبيعات,changed,ksa-hr,commissions,
# ═══ [matched-core] عبارات النظام — مطابقة Odoo ═══
"<span class=""ms-1"">%</span>","<span class=""ms-1"">٪</span>","<span class=""ms-1"">%</span>",matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Absent,غائب,غائب,matched-core,odoo-core,"attendance_leave,attendance_sheet,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Account,الحساب,الحساب,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Accounting,المحاسبة,المحاسبة,matched-core,odoo-core,"annual_leave,deduction,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Action Needed,إجراء مطلوب,إجراء مطلوب,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Active,مُفعَّل,نشط,matched-core,odoo-core,"commissions,deduction,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Active Employee,موظف نشط,موظف نشط,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Activities,الأنشطة,الأنشطة,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Activity Exception Decoration,تنبيه استثناء النشاط,زخرفة استثناء النشاط,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Activity State,حالة النشاط,حالة النشاط,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Activity Type Icon,أيقونة نوع النشاط,أيقونة نوع النشاط,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Additional Information,معلومات إضافية,معلومات إضافية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Additional Note,ملاحظة إضافية,ملاحظة إضافية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Afternoon,فترة ما بعد الظهر,بعد الظهر,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Allocated,مُخصَّص,المخصصة,matched-core,odoo-core,leave_types,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Allocation,التخصيص,التخصيص,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
April,أبريل,أبريل,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Archived,مؤرشف,مؤرشف,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Attachment Count,عدد المرفقات,عدد المرفقات,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Attachments,المرفقات,المرفقات,matched-core,odoo-core,"annual_leave,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
August,أغسطس,أغسطس,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Balance,الرصيد,الرصيد,matched-core,odoo-core,"ext_sync,leave_types",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Bank Account,الحساب البنكي,الحساب البنكي,matched-core,odoo-core,"commissions,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Bank Accounts,الحسابات البنكية,الحسابات البنكية,matched-core,odoo-core,"base_security,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Bank Name,اسم البنك,اسم البنك,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Birthday,يوم الميلاد,يوم الميلاد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
by,بواسطة,بواسطة,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
By Department,حسب القسم,حسب القسم,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
By Employee,حسب الموظف,حسب الموظف,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Cancel,إلغاء,إلغاء,matched-core,odoo-core,"annual_leave,attendance_report,commissions,deduction,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Category,الفئة,الفئة,matched-core,odoo-core,"commissions,deduction,ext_sync",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Check In,تسجيل الدخول,تسجيل الحضور,matched-core,odoo-core,attendance_report,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Check Out,تسجيل الخروج,تسجيل الخروج,matched-core,odoo-core,attendance_report,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Client,العميل,العميل,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Close,إغلاق,إغلاق,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Closed,مُقفل,مغلق,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Code,الرمز,رمز,matched-core,odoo-core,"commissions,deduction,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Commission,العمولة,العمولة,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Commissions,عمولات KSW,العمولات,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Companies,الشركات,الشركات,matched-core,odoo-core,leave_approval,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Condition,الشرط,الشرط,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Config Settings,تهيئة الإعدادات,تهيئة الإعدادات,matched-core,odoo-core,"commissions,leave_approval,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Configuration,الإعدادات,التهيئة,matched-core,odoo-core,"commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Confirm,تأكيد,تأكيد,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contact,جهة الاتصال,جهة الاتصال,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contract End Date,تاريخ انتهاء العقد,تاريخ انتهاء العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contract Start Date,تاريخ بدء العقد,تاريخ بدء العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contract Template,قالب العقد,قالب العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contract Type,نوع العقد,نوع العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Contract Wage,أجر العقد,أجر العقد,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Count,العدد,التعداد,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Country Code,رمز الدولة,رمز الدولة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Created by,أنشأه | أنشئ بواسطة,أنشئ بواسطة,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,commissions,deduction,ext_sync,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Created on,أنشئ في | تاريخ الإنشاء,أنشئ في,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,commissions,deduction,ext_sync,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Credit,دائن,الدائن,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Currency,العملة,العملة,matched-core,odoo-core,"base_security,commissions,deduction,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Current Balance,الرصيد الحالي,الرصيد الحالي,matched-core,odoo-core,annual_leave,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Current Time Off Status,حالة الإجازة الحالية,حالة الإجازة الحالية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Current Time Off Type,نوع الإجازة الحالية,نوع الإجازة الحالية,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Currently Valid,ساري حالياً,صالح حاليا,matched-core,odoo-core,leave_types,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Dashboard,لوحة المعلومات,لوحة البيانات,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Date,التاريخ,التاريخ,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,ext_sync,payroll,unpaid_leave",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Date End,تاريخ الانتهاء,تاريخ الانتهاء,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Date Start,تاريخ البدء,تاريخ البدء,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Date Version,نسخة بتاريخ,نسخة بتاريخ,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Day,اليوم,اليوم,matched-core,odoo-core,"attendance_report,attendance_sheet,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Day Period,فترة اليوم,فترة اليوم,matched-core,odoo-core,working_schedule,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Days,الأيام,الأيام,matched-core,odoo-core,"commissions,payroll",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
days,أيام,يوم,matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
days),أيام),أيام),matched-core,odoo-core,payroll,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Debit,مدين,المدين,matched-core,odoo-core,ext_sync,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
December,ديسمبر,ديسمبر,matched-core,odoo-core,"attendance_report,attendance_sheet,commissions",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Department,القسم,القسم,matched-core,odoo-core,"annual_leave,attendance_sheet,base_security,commissions,deduction,leave_types",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Departure Date,تاريخ المغادرة,تاريخ المغادرة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Departure Reason,سبب المغادرة,سبب المغادرة,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Dependent Children,الأطفال المعالون,الأطفال المعالون,matched-core,odoo-core,base_security,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Description,الوصف,الوصف,matched-core,odoo-core,"commissions,deduction,ext_sync,payroll,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Details,التفاصيل,التفاصيل,matched-core,odoo-core,deduction,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Display Name,اسم العرض | الاسم الظاهر,اسم العرض,matched-core,odoo-core,"annual_leave,attendance_leave,attendance_report,attendance_sheet,base_security,commissions,deduction,eos_leave,ext_sync,leave_approval,leave_types,payroll,unpaid_leave,working_schedule",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Done,منجز,منتهي,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Done Date,تاريخ الإنجاز,تاريخ الاكتمال,matched-core,odoo-core,commissions,مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
Draft,مسودة,مسودة,matched-core,odoo-core,"attendance_sheet,commissions,deduction",مطابقة الترجمة الرسمية لـ Odoo (قرار المستخدم رقم 4)
